,12.0,14.0,16.0,18.0,27.0,28.0,35.0,36.0,53.0,80.0,99.0,878.0,9648.0,10402.0,10749.0,10751.0,10769.0,10770.0
35,4.54545454545,,3.92156862745,3.0303030303,,4.6511627907,5.98290598291,,,25.0,4.87804878049,,33.3333333333,12.5,,,,
226,9.09090909091,,3.92156862745,6.06060606061,12.5,,3.4188034188,,,,7.31707317073,,,25.0,16.6666666667,5.55555555556,,
2355,,,5.88235294118,,,,10.2564102564,,16.6666666667,,2.43902439024,,,12.5,16.6666666667,11.1111111111,,
2631,4.54545454545,,1.96078431373,3.0303030303,6.25,2.32558139535,5.98290598291,,,,4.87804878049,,,,16.6666666667,16.6666666667,,
4247,,,9.80392156863,6.06060606061,6.25,4.6511627907,3.4188034188,,,25.0,7.31707317073,,,,,,,
4257,,,1.96078431373,,,11.6279069767,7.69230769231,,,,9.75609756098,,,12.5,16.6666666667,,,
4258,,,,9.09090909091,6.25,11.6279069767,3.4188034188,,,,4.87804878049,,33.3333333333,,,5.55555555556,,
5559,,,1.96078431373,9.09090909091,6.25,13.9534883721,3.4188034188,,,,2.43902439024,,,,,22.2222222222,,
10073,4.54545454545,20.0,3.92156862745,6.06060606061,12.5,6.97674418605,2.5641025641,,,,4.87804878049,8.33333333333,33.3333333333,,16.6666666667,5.55555555556,,
11836,13.6363636364,,3.92156862745,6.06060606061,,6.97674418605,2.5641025641,,16.6666666667,,2.43902439024,,,,,16.6666666667,,
11918,18.1818181818,,3.92156862745,6.06060606061,,6.97674418605,5.98290598291,,,25.0,2.43902439024,8.33333333333,,,,,,
13805,,,3.92156862745,6.06060606061,18.75,2.32558139535,5.98290598291,,,,7.31707317073,8.33333333333,,12.5,,,,
22797,9.09090909091,,7.8431372549,6.06060606061,,2.32558139535,5.98290598291,,,,7.31707317073,8.33333333333,,,,,,
85420,,,9.80392156863,9.09090909091,,4.6511627907,3.4188034188,,16.6666666667,,2.43902439024,8.33333333333,,,,11.1111111111,,100.0
87818,9.09090909091,,7.8431372549,6.06060606061,,2.32558139535,3.4188034188,,16.6666666667,25.0,,8.33333333333,,,,,,
137106,4.54545454545,20.0,7.8431372549,3.0303030303,6.25,4.6511627907,5.12820512821,,16.6666666667,,2.43902439024,8.33333333333,,,,,,
153518,,,,3.0303030303,12.5,6.97674418605,5.12820512821,100.0,,,7.31707317073,8.33333333333,,12.5,,5.55555555556,,
309810,9.09090909091,40.0,5.88235294118,3.0303030303,6.25,2.32558139535,4.2735042735,,16.6666666667,,4.87804878049,8.33333333333,,,,,100.0,
324849,,20.0,3.92156862745,3.0303030303,,2.32558139535,6.83760683761,,,,12.1951219512,16.6666666667,,12.5,16.6666666667,,,
416252,13.6363636364,,11.7647058824,6.06060606061,6.25,2.32558139535,5.12820512821,,,,2.43902439024,8.33333333333,,,,,,
