,Q1,Q2,Q3
35,2.17391304348,6.71641791045,5.1724137931
226,6.52173913043,5.97014925373,1.72413793103
2355,4.34782608696,3.73134328358,8.62068965517
2631,4.34782608696,4.4776119403,5.1724137931
4247,5.79710144928,2.98507462687,5.1724137931
4257,5.79710144928,2.98507462687,7.75862068966
4258,5.07246376812,4.4776119403,3.44827586207
5559,4.34782608696,4.4776119403,6.89655172414
10073,4.34782608696,5.97014925373,5.1724137931
11836,4.34782608696,2.23880597015,7.75862068966
11918,5.07246376812,8.20895522388,2.58620689655
13805,6.52173913043,5.97014925373,2.58620689655
22797,5.07246376812,5.22388059701,5.1724137931
85420,3.6231884058,4.4776119403,7.75862068966
87818,5.79710144928,2.98507462687,3.44827586207
137106,5.79710144928,4.4776119403,4.31034482759
153518,6.52173913043,5.97014925373,1.72413793103
309810,3.6231884058,5.97014925373,6.03448275862
324849,6.52173913043,5.97014925373,4.31034482759
416252,4.34782608696,6.71641791045,5.1724137931
