id,Average,Bad,Good,Great
35,3.63636363636,5.5900621118,4.54545454545,2.5
226,5.45454545455,5.5900621118,4.54545454545,2.5
2355,3.63636363636,5.5900621118,6.81818181818,2.5
2631,7.27272727273,3.72670807453,5.30303030303,2.5
4247,3.63636363636,4.96894409938,3.0303030303,10.0
4257,5.45454545455,6.21118012422,3.0303030303,10.0
4258,10.9090909091,2.48447204969,3.0303030303,7.5
5559,5.45454545455,6.21118012422,5.30303030303,
10073,3.63636363636,8.07453416149,3.0303030303,2.5
11836,1.81818181818,4.34782608696,6.06060606061,5.0
11918,5.45454545455,4.34782608696,6.06060606061,7.5
13805,7.27272727273,4.34782608696,6.06060606061,2.5
22797,1.81818181818,4.34782608696,6.81818181818,7.5
85420,1.81818181818,6.83229813665,6.06060606061,
87818,5.45454545455,3.10559006211,3.0303030303,10.0
137106,7.27272727273,4.34782608696,5.30303030303,2.5
153518,3.63636363636,2.48447204969,7.57575757576,7.5
309810,7.27272727273,6.21118012422,2.27272727273,7.5
324849,7.27272727273,5.5900621118,5.30303030303,5.0
416252,1.81818181818,5.5900621118,6.81818181818,5.0
